Species,MeanCPUE,Year,CPUE_SE,Common_Name2
Gadus chalcogrammus,2817.596697,1981,496.8427778,Walleye pollock
Gadus chalcogrammus,82.58530191,1982,29.10610901,Walleye pollock
Gadus chalcogrammus,391.9320087,1983,61.73793817,Walleye pollock
Gadus chalcogrammus,67.67278587,1985,11.63536869,Walleye pollock
Gadus chalcogrammus,379.2907576,1987,48.49512443,Walleye pollock
Gadus chalcogrammus,186.7693364,1988,12.32668355,Walleye pollock
Gadus chalcogrammus,559.7355772,1989,53.83828655,Walleye pollock
Gadus chalcogrammus,322.7864881,1990,24.35669831,Walleye pollock
Gadus chalcogrammus,56.45829191,1991,8.549877154,Walleye pollock
Gadus chalcogrammus,508.1062087,1992,67.15661958,Walleye pollock
Gadus chalcogrammus,176.8206581,1993,20.79827958,Walleye pollock
Gadus chalcogrammus,127.8592607,1994,12.75963742,Walleye pollock
Gadus chalcogrammus,669.2691617,1995,68.6732281,Walleye pollock
Gadus chalcogrammus,480.3181419,1996,37.96866627,Walleye pollock
Gadus chalcogrammus,572.0762603,1997,64.80878925,Walleye pollock
Gadus chalcogrammus,73.85687498,1998,8.600271082,Walleye pollock
Gadus chalcogrammus,89.63539384,1999,15.66392868,Walleye pollock
Gadus chalcogrammus,473.5412103,2000,57.43732727,Walleye pollock
Gadus chalcogrammus,156.3971946,2001,17.9042056,Walleye pollock
Gadus chalcogrammus,144.8300226,2002,27.2758392,Walleye pollock
Gadus chalcogrammus,112.7811958,2003,13.08469607,Walleye pollock
Gadus chalcogrammus,18.38648979,2004,2.107506468,Walleye pollock
Gadus chalcogrammus,67.5966407,2005,7.232947446,Walleye pollock
Gadus chalcogrammus,370.2231127,2006,56.98029139,Walleye pollock
Gadus chalcogrammus,183.5685165,2007,20.73967377,Walleye pollock
Gadus chalcogrammus,181.0380031,2008,23.71575234,Walleye pollock
Gadus chalcogrammus,148.4984164,2009,24.01467265,Walleye pollock
Gadus chalcogrammus,391.5082908,2010,61.42175862,Walleye pollock
Gadus chalcogrammus,180.7783964,2011,27.89667329,Walleye pollock
Gadus chalcogrammus,1871.006797,2013,366.986332,Walleye pollock
Gadus chalcogrammus,13.84568108,2015,2.142452926,Walleye pollock
Gadus chalcogrammus,481.2956519,2017,33.94545545,Walleye pollock
Gadus chalcogrammus,64.10066642,2019,6.470235023,Walleye pollock
