year,pollR1.2020,pollR1.2019,pollR0.2020,pollR0.2020.LCI,pollR0.2020.UCI,pollR0.2019,poll.SSB.2020,poll.SSB.2020.LCI,poll.SSB.2020.UCI,poll.SSB.2019,codR0.2020,codSSB.2020,codR0.2020.SD,codSSB.2020.SD
1969,,,1270,699,2308,1253,,,,,,,,
1970,1270,1253,3140,1345,7330,3146,128,70,234,127,,,,
1971,3140,3146,3613,1773,7363,3614,123,66,227,121,,,,
1972,3613,3614,10548,7621,14599,10430,113,59,215,112,,,,
1973,10548,10430,2179,1221,3889,2176,96,48,193,95,,,,
1974,2179,2176,2204,1277,3803,2191,86,45,165,85,,,,
1975,2204,2191,8680,5969,12623,8538,91,55,150,90,,,,
1976,8680,8538,11758,8171,16920,11488,121,84,173,120,,,,
1977,11758,11488,14433,10047,20733,14008,136,95,196,135,1.273,110410,0.389,24581
1978,14433,14008,25660,18995,34664,24828,124,82,189,122,0.47,119850,0.171,25067
1979,25660,24828,13100,8949,19177,12674,130,85,201,129,0.421,117990,0.144,23590
1980,13100,12674,7302,4599,11592,7061,181,122,270,178,0.578,120265,0.184,22926
1981,7302,7061,7256,4590,11469,7011,201,139,289,196,0.783,143780,0.214,27033
1982,7256,7011,4920,2516,9620,4799,330,239,456,321,0.822,166785,0.236,30771
1983,4920,4799,5897,3223,10789,5710,464,341,630,448,0.437,172375,0.15,30733
1984,5897,5710,14412,10458,19860,14125,516,374,711,495,0.759,173590,0.212,29945
1985,14412,14125,4135,2372,7208,4117,469,329,670,446,0.847,188540,0.209,30012
1986,4135,4117,1691,748,3821,1713,425,289,625,401,0.443,211100,0.132,29897
1987,1691,1713,4723,3000,7437,4790,397,274,574,375,0.551,227490,0.128,28914
1988,4723,4790,10919,8177,14580,11030,399,284,561,378,0.61,233010,0.136,26573
1989,10919,11030,8182,5932,11286,8272,412,308,551,393,0.664,243170,0.147,24688
1990,8182,8272,3180,1901,5320,3186,421,319,556,403,0.701,243230,0.15,22323
1991,3180,3186,2359,1393,3993,2365,412,312,545,396,0.383,223300,0.092,19714
1992,2359,2365,1675,936,2996,1662,371,283,486,360,0.343,205080,0.076,17718
1993,1675,1662,1697,963,2988,1677,399,311,512,393,0.283,191450,0.063,16417
1994,1697,1677,6645,5206,8483,6608,468,369,594,464,0.339,194485,0.07,15679
1995,6645,6608,3085,2203,4321,3067,390,307,495,387,0.414,194410,0.08,14283
1996,3085,3067,1402,870,2260,1393,359,283,456,358,0.278,172765,0.057,12123
1997,1402,1393,1339,860,2084,1338,318,250,405,317,0.263,146845,0.054,10039
1998,1339,1338,1668,1114,2497,1670,246,190,318,245,0.226,123625,0.044,8519
1999,1668,1670,6221,4895,7904,6218,229,176,298,228,0.379,110480,0.069,7689
2000,6221,6218,6640,5333,8267,6601,217,165,285,216,0.391,97345,0.071,7072
2001,6640,6601,923,532,1602,926,203,152,271,201,0.257,87890,0.049,6394
2002,923,926,714,428,1190,713,169,124,230,168,0.187,83510,0.038,5809
2003,714,713,666,387,1146,668,156,116,211,156,0.222,82880,0.04,5531
2004,666,668,1713,1180,2486,1699,172,133,223,172,0.317,83425,0.055,5551
2005,1713,1699,5539,4264,7194,5432,210,163,270,209,0.395,79040,0.068,5302
2006,5539,5432,5351,4065,7042,5149,224,171,293,223,0.681,70960,0.114,4687
2007,5351,5149,6494,5010,8417,6249,196,147,263,195,0.433,62375,0.079,4190
2008,6494,6249,2886,2066,4032,2747,194,143,262,193,0.648,58345,0.114,4129
2009,2886,2747,1094,655,1828,1044,191,143,257,190,0.348,63025,0.073,4683
2010,1094,1044,4644,3425,6297,4600,264,203,343,260,0.43,82160,0.085,5914
2011,4644,4600,747,405,1377,663,309,241,398,302,0.67,93315,0.137,7026
2012,747,663,39489,32750,47614,36171,330,256,425,319,1.205,99360,0.267,8160
2013,39489,36171,2269,1365,3771,2089,353,270,462,339,0.658,102620,0.167,9141
2014,2269,2089,43,20,89,35,268,201,357,256,0.214,106775,0.063,10451
2015,43,35,5,3,11,4,243,178,332,231,0.174,78265,0.047,6746
2016,5,4,2207,1305,3732,1944,260,200,339,243,0.175,62895,0.041,4957
2017,2207,1944,6965,4159,11662,5340,356,275,460,324,0.192,44961,0.046,3601
2018,6965,5340,5746,3223,10245,9391,340,256,451,302,0.352,35940,0.094,3578
2019,5746,9391,104,45,237,,263,190,364,227,0.193,34794,0.08,3513
2020,104,,,,,,184,125,270,,0.375,34631,0.195,3762
